USER         PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root        1298 16.4  0.0 199192888 1352348 ?   Sl   11:47   5:37 /opt/pyvenv/lib/python3.10/site-packages/ray/core/src/ray/raylet/raylet --raylet_socket_name=/tmp/ray/session_2025-10-04_11-47-07_464755_96/sockets/raylet --store_socket_name=/tmp/ray/session_2025-10-04_11-47-07_464755_96/sockets/plasma_store --object_manager_port=0 --min_worker_port=10002 --max_worker_port=19999 --node_manager_port=0 --node_id=4247b7f7fd8adbebf9c7898e27ed4942cf2b472878098d0b96400591 --node_ip_address=172.16.2.77 --maximum_startup_concurrency=640 --static_resource_list=node:172.16.2.77,1.0,node:__internal_head__,1.0,NPU,16,accelerator_type:Ascend910_9392,1,CPU,640,memory,650508132352,object_store_memory,200000000000 --python_worker_command=/opt/pyvenv/bin/python3 /opt/pyvenv/lib/python3.10/site-packages/ray/_private/workers/setup_worker.py /opt/pyvenv/lib/python3.10/site-packages/ray/_private/workers/default_worker.py --node-ip-address=172.16.2.77 --node-manager-port=RAY_NODE_MANAGER_PORT_PLACEHOLDER --object-store-name=/tmp/ray/session_2025-10-04_11-47-07_464755_96/sockets/plasma_store --raylet-name=/tmp/ray/session_2025-10-04_11-47-07_464755_96/sockets/raylet --redis-address=None --metrics-agent-port=61519 --logging-rotate-bytes=536870912 --logging-rotate-backup-count=5 --runtime-env-agent-port=57927 --gcs-address=172.16.2.77:6666 --session-name=session_2025-10-04_11-47-07_464755_96 --temp-dir=/tmp/ray --webui=172.16.2.77:8888 --cluster-id=a12ea2981be51af55496cb5dd58bdebd284822fc0f816e9e13443778 RAY_WORKER_DYNAMIC_OPTION_PLACEHOLDER --java_worker_command= --cpp_worker_command= --native_library_path=/opt/pyvenv/lib/python3.10/site-packages/ray/cpp/lib --temp_dir=/tmp/ray --session_dir=/tmp/ray/session_2025-10-04_11-47-07_464755_96 --log_dir=/tmp/ray/session_2025-10-04_11-47-07_464755_96/logs --resource_dir=/tmp/ray/session_2025-10-04_11-47-07_464755_96/runtime_resources --metrics-agent-port=61519 --metrics_export_port=53789 --runtime_env_agent_port=57927 --object_store_memory=200000000000 --plasma_directory=/dev/shm --fallback_directory=/tmp/ray/session_2025-10-04_11-47-07_464755_96 --ray-debugger-external=1 --gcs-address=172.16.2.77:6666 --session-name=session_2025-10-04_11-47-07_464755_96 --labels= --cluster-id=a12ea2981be51af55496cb5dd58bdebd284822fc0f816e9e13443778 --stdout_filepath=/tmp/ray/session_2025-10-04_11-47-07_464755_96/logs/raylet.out --stderr_filepath=/tmp/ray/session_2025-10-04_11-47-07_464755_96/logs/raylet.err --head --num_prestart_python_workers=640 --dashboard_agent_command=/opt/pyvenv/bin/python3 -u /opt/pyvenv/lib/python3.10/site-packages/ray/dashboard/agent.py --node-ip-address=172.16.2.77 --metrics-export-port=53789 --dashboard-agent-port=61519 --listen-port=52365 --node-manager-port=RAY_NODE_MANAGER_PORT_PLACEHOLDER --object-store-name=/tmp/ray/session_2025-10-04_11-47-07_464755_96/sockets/plasma_store --raylet-name=/tmp/ray/session_2025-10-04_11-47-07_464755_96/sockets/raylet --temp-dir=/tmp/ray --session-dir=/tmp/ray/session_2025-10-04_11-47-07_464755_96 --log-dir=/tmp/ray/session_2025-10-04_11-47-07_464755_96/logs --logging-rotate-bytes=536870912 --logging-rotate-backup-count=5 --session-name=session_2025-10-04_11-47-07_464755_96 --gcs-address=172.16.2.77:6666 --cluster-id-hex=a12ea2981be51af55496cb5dd58bdebd284822fc0f816e9e13443778 --stdout-filepath=/tmp/ray/session_2025-10-04_11-47-07_464755_96/logs/dashboard_agent.out --stderr-filepath=/tmp/ray/session_2025-10-04_11-47-07_464755_96/logs/dashboard_agent.err --runtime_env_agent_command=/opt/pyvenv/bin/python3 -u /opt/pyvenv/lib/python3.10/site-packages/ray/_private/runtime_env/agent/main.py --node-ip-address=172.16.2.77 --runtime-env-agent-port=57927 --gcs-address=172.16.2.77:6666 --cluster-id-hex=a12ea2981be51af55496cb5dd58bdebd284822fc0f816e9e13443778 --runtime-env-dir=/tmp/ray/session_2025-10-04_11-47-07_464755_96/runtime_resources --logging-rotate-bytes=536870912 --logging-rotate-backup-count=5 --log-dir=/tmp/ray/session_2025-10-04_11-47-07_464755_96/logs --temp-dir=/tmp/ray --stdout-filepath=/tmp/ray/session_2025-10-04_11-47-07_464755_96/logs/runtime_env_agent.out --stderr-filepath=/tmp/ray/session_2025-10-04_11-47-07_464755_96/logs/runtime_env_agent.err --node-name=172.16.2.77
root        1328  5.8  0.0 456564 222636 ?       Sl   11:47   2:00 /opt/pyvenv/bin/python3 -u /opt/pyvenv/lib/python3.10/site-packages/ray/_private/log_monitor.py --session-dir=/tmp/ray/session_2025-10-04_11-47-07_464755_96 --logs-dir=/tmp/ray/session_2025-10-04_11-47-07_464755_96/logs --gcs-address=172.16.2.77:6666 --logging-rotate-bytes=536870912 --logging-rotate-backup-count=5 --stdout-filepath=/tmp/ray/session_2025-10-04_11-47-07_464755_96/logs/log_monitor.out --stderr-filepath=/tmp/ray/session_2025-10-04_11-47-07_464755_96/logs/log_monitor.err
root        1374 61.7  0.0 214050016 380168 ?    Rl   11:47  21:09 /opt/pyvenv/bin/python3 -u /opt/pyvenv/lib/python3.10/site-packages/ray/dashboard/agent.py --node-ip-address=172.16.2.77 --metrics-export-port=53789 --dashboard-agent-port=61519 --listen-port=52365 --node-manager-port=39533 --object-store-name=/tmp/ray/session_2025-10-04_11-47-07_464755_96/sockets/plasma_store --raylet-name=/tmp/ray/session_2025-10-04_11-47-07_464755_96/sockets/raylet --temp-dir=/tmp/ray --session-dir=/tmp/ray/session_2025-10-04_11-47-07_464755_96 --log-dir=/tmp/ray/session_2025-10-04_11-47-07_464755_96/logs --logging-rotate-bytes=536870912 --logging-rotate-backup-count=5 --session-name=session_2025-10-04_11-47-07_464755_96 --gcs-address=172.16.2.77:6666 --cluster-id-hex=a12ea2981be51af55496cb5dd58bdebd284822fc0f816e9e13443778 --stdout-filepath=/tmp/ray/session_2025-10-04_11-47-07_464755_96/logs/dashboard_agent.out --stderr-filepath=/tmp/ray/session_2025-10-04_11-47-07_464755_96/logs/dashboard_agent.err
root        1378  0.0  0.0 2166552 105256 ?      Sl   11:47   0:01 /opt/pyvenv/bin/python3 -u /opt/pyvenv/lib/python3.10/site-packages/ray/_private/runtime_env/agent/main.py --node-ip-address=172.16.2.77 --runtime-env-agent-port=57927 --gcs-address=172.16.2.77:6666 --cluster-id-hex=a12ea2981be51af55496cb5dd58bdebd284822fc0f816e9e13443778 --runtime-env-dir=/tmp/ray/session_2025-10-04_11-47-07_464755_96/runtime_resources --logging-rotate-bytes=536870912 --logging-rotate-backup-count=5 --log-dir=/tmp/ray/session_2025-10-04_11-47-07_464755_96/logs --temp-dir=/tmp/ray --stdout-filepath=/tmp/ray/session_2025-10-04_11-47-07_464755_96/logs/runtime_env_agent.out --stderr-filepath=/tmp/ray/session_2025-10-04_11-47-07_464755_96/logs/runtime_env_agent.err
root        1889  0.0  0.0   3856  2764 ?        S    11:48   0:00 bash hw_run_dapo_deepseek_671b_megatron.sh
root        1890  0.3  0.0 4590780 202320 ?      Sl   11:48   0:07 /opt/pyvenv/bin/python3 /opt/pyvenv/bin/ray job submit --runtime-env=verl/trainer/mc2_env.yaml -- python3 -m recipe.dapo.main_dapo --config-path=config --config-name=dapo_megatron_trainer actor_rollout_ref.rollout.load_format=safetensors actor_rollout_ref.rollout.skip.enable=False actor_rollout_ref.rollout.skip.dump_dir=/mnt/hpfs_test/wlf/rollout_dump actor_rollout_ref.rollout.skip.dump_step=500 data.train_files=/mnt/hpfs_test/data/data/dapo-math-17k.parquet data.val_files=/mnt/hpfs_test/data/data/dapo-math-17k.parquet data.prompt_key=prompt data.truncation=left data.max_prompt_length=2048 data.max_response_length=24576 data.train_batch_size=128 actor_rollout_ref.rollout.n=16 algorithm.adv_estimator=grpo algorithm.use_kl_in_reward=False algorithm.kl_ctrl.kl_coef=0.0 algorithm.filter_groups.enable=False actor_rollout_ref.actor.use_kl_loss=False actor_rollout_ref.actor.kl_loss_coef=0.0 actor_rollout_ref.actor.clip_ratio_low=0.2 actor_rollout_ref.actor.clip_ratio_high=0.28 actor_rollout_ref.actor.clip_ratio_c=10.0 actor_rollout_ref.actor.ppo_micro_batch_size_per_gpu=2 actor_rollout_ref.ref.log_prob_micro_batch_size_per_gpu=2 actor_rollout_ref.rollout.log_prob_micro_batch_size_per_gpu=2 actor_rollout_ref.model.path=/mnt/hpfs_test/weights/dsv3-bf16 actor_rollout_ref.actor.optim.lr=1e-6 actor_rollout_ref.actor.optim.lr_warmup_steps=5 actor_rollout_ref.actor.optim.weight_decay=0.1 actor_rollout_ref.actor.ppo_mini_batch_size=32 actor_rollout_ref.actor.megatron.param_offload=True actor_rollout_ref.actor.megatron.optimizer_offload=True actor_rollout_ref.actor.megatron.grad_offload=True actor_rollout_ref.actor.megatron.pipeline_model_parallel_size=8 actor_rollout_ref.actor.megatron.tensor_model_parallel_size=8 actor_rollout_ref.actor.megatron.expert_model_parallel_size=64 actor_rollout_ref.actor.megatron.dist_checkpointing_path=/data01/huawei-2025/weight/dsv3_fp16_mcore_full_new actor_rollout_ref.actor.megatron.use_dist_checkpointing=Ture +actor_rollout_ref.ref.megatron.override_transformer_config.use_flash_attn=True actor_rollout_ref.actor.megatron.expert_tensor_parallel_size=1 actor_rollout_ref.ref.megatron.expert_tensor_parallel_size=1 +actor_rollout_ref.actor.megatron.override_transformer_config.use_flash_attn=True +actor_rollout_ref.actor.megatron.override_transformer_config.recompute_method=uniform +actor_rollout_ref.actor.megatron.override_transformer_config.recompute_granularity=full +actor_rollout_ref.actor.megatron.override_transformer_config.recompute_num_layers=1 +actor_rollout_ref.actor.megatron.override_transformer_config.num_layers_in_first_pipeline_stage=7 +actor_rollout_ref.actor.megatron.override_transformer_config.num_layers_in_last_pipeline_stage=6 actor_rollout_ref.actor.entropy_coeff=0 actor_rollout_ref.actor.optim.clip_grad=1.0 actor_rollout_ref.actor.loss_agg_mode=token-mean actor_rollout_ref.rollout.gpu_memory_utilization=0.70 actor_rollout_ref.rollout.tensor_model_parallel_size=8 actor_rollout_ref.rollout.dp_model_parallel_size=8 actor_rollout_ref.rollout.enable_chunked_prefill=False actor_rollout_ref.rollout.enable_prefix_caching=False actor_rollout_ref.rollout.max_num_batched_tokens=6144 actor_rollout_ref.rollout.max_num_seqs=32 actor_rollout_ref.rollout.temperature=1.0 actor_rollout_ref.rollout.top_p=1.0 actor_rollout_ref.rollout.top_k=-1 actor_rollout_ref.rollout.val_kwargs.temperature=1.0 actor_rollout_ref.rollout.val_kwargs.top_p=0.7 actor_rollout_ref.rollout.val_kwargs.top_k=-1 actor_rollout_ref.rollout.val_kwargs.do_sample=True actor_rollout_ref.rollout.val_kwargs.n=1 actor_rollout_ref.rollout.enforce_eager=True actor_rollout_ref.rollout.name=vllm actor_rollout_ref.ref.megatron.pipeline_model_parallel_size=8 actor_rollout_ref.ref.megatron.tensor_model_parallel_size=8 actor_rollout_ref.ref.megatron.expert_model_parallel_size=64 actor_rollout_ref.ref.megatron.param_offload=True actor_rollout_ref.ref.megatron.dist_checkpointing_path=/data01/huawei-2025/weight/dsv3_fp16_mcore_full_new actor_rollout_ref.ref.megatron.use_dist_checkpointing=True reward_model.reward_manager=dapo +reward_model.reward_kwargs.overlong_buffer_cfg.enable=True +reward_model.reward_kwargs.overlong_buffer_cfg.len=1024 +reward_model.reward_kwargs.overlong_buffer_cfg.penalty_factor=0.3 +reward_model.reward_kwargs.overlong_buffer_cfg.log=False +reward_model.reward_kwargs.max_resp_len=24576 trainer.logger=["console"] actor_rollout_ref.actor.load_weight=False actor_rollout_ref.ref.load_weight=False trainer.project_name=DAPO trainer.experiment_name=DAPO-DeepSeek-671b-megatron-INSTRUCT-64NNODES trainer.n_gpus_per_node=16 trainer.nnodes=32 trainer.val_before_train=False trainer.test_freq=-1 trainer.save_freq=10 trainer.total_epochs=10 trainer.default_local_dir=/mnt/hpfs_test/ckpt/ckpt-DAPO-DeepSeek-671b-megatron-2k24k trainer.resume_mode=auto trainer.log_val_generations=10 actor_rollout_ref.rollout.free_cache_engine=True trainer.device=npu
root        1891  0.0  0.0   2224   780 ?        S    11:48   0:00 tee /tmp/ray.output
root        1995  0.2  0.0 208822924 97628 ?     SNl  11:48   0:05 ray::IDLE
root        1996  0.2  0.0 208822932 97320 ?     SNl  11:48   0:05 ray::IDLE
root        1997  0.2  0.0 208822932 100016 ?    SNl  11:48   0:05 ray::IDLE
